UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Buletin iNews GTV,@GTVID_News,2024-02-16T07:45:20.000Z,"Viral video petugas polisi terombang-ambing di tengah laut antara pulau di Kabupaten Nias Selatan, Sumatra Utara, saat mengawal kotak suara. KPJ

Selengkapnya:
https://youtu.be/qgKkwPsWzAI

#GTVNews #GTV #News #Viral #Polisi #Pemilu2024 #SuratSuara #NiasSelatan #SumatraUtara",,,
Eko Dongoran,@EkoDongoran,2024-02-16T07:45:11.000Z,"Dengan berjuang bersama, Pak arsjad yakin kebebasan demokrasi di Indonesia akan tetap bisa ditegakkan #arsjadrasjid #pemilu2024 #inklusifkolaboratif ketua kadin",,,
Syukron Jamal,@Syukron_Jml,2024-02-16T07:45:06.000Z,"Kecewa Boleh, Marah Jangan.
Quick Count 
#Pilpres2024
#Pemilu2024",,,
medcom_id,@medcom_id,2024-02-16T07:45:00.000Z,"Anies Baswedan menyerukan agar masyarakat mendokumentasikan setiap ketidaknormalan dalam proses pemilu. Lalu, melaporkannya ke Tim Hukum Nasional Timnas AMIN.

#Pemilu2024 #Pilpres2024 #aniesbaswedan",,1,1
Humas Polda Maluku,@polda_maluku,2024-02-16T07:44:59.000Z,Satuan samapta Polres MBD tingkatkan Patroli Cipta Kondisi Pasca Perhitungan Suara Pemilu Pilpres dan Pileg 2024,,,
Fadiyah Alkaff,@dydyaa2,2024-02-16T07:44:54.000Z,"Ini sebagian kecil bukti dari jambi, bayangkan berapa TPS yang ada di indonesia dan di luar negeri capek2 masyarakat ngantri dan menghabiskan uang negara akhirnya seperti ini, kenapa tidak di lantik aja langsung
#Pemilu2024 #Jokowi #Prabowo #GibranRakabuming #Jambi",,,1
𝕸𝖆𝖑𝖎𝖐𝖆,@Malika6027,2024-02-16T07:43:59.000Z,"Timnas AMIN Beberkan 3 Dugaan Kecurangan Pemilu 2024 yang di klaim lebih dahsyat kecurangannya dari pemilu2 sebelumnya terutama yg paling di soroti adlah soal penggelembungan suara di Sirekap KPU..

#AMINMenang ",1,37,64
Titah Pandita,@TitahPandita,2024-02-16T07:43:57.000Z,"Pemilu 2024 mencerminkan kesadaran politik yang matang di Indonesia, dengan antusiasme pemilih yang tinggi baik di dalam maupun luar negeri. 

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",,,
Azhar Rahman,@azharrahman990,2024-02-16T07:43:53.000Z,"Aparat Keamanan siap untuk menjaga penyelenggaraan Pemilu 2024 di Papua sehingga masyarakat Papua dapat memberikan hak suaranya dengan aman di TPS terdekat. 
#papuaindonesia #pemilupapua #pemilupapuadamai #Papuabangkit #papuadamai #Papuakondusif.",,,
Kodim 1015 Sampit,@Kodim1015Sampit,2024-02-16T07:43:50.000Z,Kodim 1015/Sampit Bersama Polres Kotim Laksanakan Patroli Pasca Pemilu 2024,,,
