UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
,@arilachoco,2024-02-09T10:08:30.000Z,"harus optimiss Ganjar M3nang Total di pemilu 2024
#YakinPilihGanjar",,,
ndokceplok,@ndokceplokmail,2024-02-09T09:46:44.000Z,"Banjir Bansos Jelang Pemilu 2024, KPK Peringatkan Kerawanan Korupsi dan Politisasi.

""Sesuai dengan rekomendasi KPK, bahwa bansos harus disalurkan berdasar data yang valid dan mutakhir, Bansos bukan berupa barang tapi berupa uang dan uangnya disalurkan melalui kantor pos/bank.",,,
Murtadha Kasekbungatan,@kasekbungatan,2024-02-09T09:26:00.000Z,"Bimtek saksi Parpol, Paslon dan DPD peserta Pemilu 2024",,,
Info_Bang_Zep,@PanjaitanZulham,2024-02-09T09:23:14.000Z,"14 Februari 2024 adalah pintu gerbang menuju Indonesia ke arah lebih baik. Semua tergantung rakyat Indonesia untuk menentukan melalui pemilu. 
Jangan kita salah pilih yang menyebabkan penyesalan.",,,
Tweets Gerindra,@Partai_Gerindra,2024-02-09T09:05:03.000Z,"RT 
@tweetmiliter
: Typonya parah yaaaaa....  

Lagipula diplomatic cable tanggal 25 Januari 2024 bisa bocor 6 hari menjelang pemilu? Impecc…",,1,
Kevin Kurnia,@arvkevin,2024-02-09T09:01:27.000Z,"Jum'at bada Ashar sebelum pemilu 2024. Yang muslim, ini doa yang dikatakan mustajab. Doakan semoga Indonesia tidak dipimpin orang yang zalim, orang yang meng-abuse hukum. Doakan yang diberi amanah sejak 2024 adalah orang yang senantiasa mencari ridha Allah.",,,1
X,@RioAgywijaya,2024-02-09T08:56:41.000Z,"Haloo dok 
@tirta_cipeng
 .
Menjelang pemilu 2024 minta tips saran dong untuk menjaga kesehatan stamina petugas KPPS dan Petugas Pemilu nya, mengingat pemilu 2019 banyak petugas yang gugur dalam bertugas. 
Thx u",,2,
gal,@galuhLukita,2024-02-09T08:45:22.000Z,"Jum'at terakhir jelang pemilu ""Semoga paslon 02 prabowo-gibran kalah di pemilu 2024 aamiin yra""",,,
"Fajrul Falah, MPH",@fajrulfalahfar1,2024-02-09T08:35:09.000Z,"Kita terlalu fokus soal Pilpres, namun apakah kita sudah mempunyai pilihan untuk wakil2 kita yg duduk di Senayan?
Ingat, Indonesia itu Trias Politica, tidak hanya eksekutif yg amanah, namun kita perlu juga legislatif dan yudikatif yang sehat dan bermutu.
#Pemilu2024",,,1
KPU RI,@KPU_ID,2024-02-09T08:21:45.000Z,"#TemanPemilih, Ketua KPU Hasyim Asy’ari, Anggota KPU August Mellaz dan Yulianto Sudrajat hadir dan membuka Rapat Koordinasi Kehumasan: Optimalisasi Media Digital Jelang Pemilu Serentak 2024, di Jakarta, Sabtu (3/2/2024).",4,5,17
